,text,FOOD,AMBIENCE,PRICE,SERVICE
1011,"Lokasinya bikin macet , tempatnya panas . Makanannya jg gak enak , harga mahal banget .",NEGATIVE,NEGATIVE,NEGATIVE,UNKNOWN
1013,"tempatny cozy menurut gue , waktu itu sih d dalem , jadi ga panas , tapi gatau kalau d luar , mungkin ga panas-panas banget karena udara bogor . gue beli ice mocha , mnurut gua ice mochanya enak buat gua yang suka ice mocha , dan gua beli cinnamon rolls dan gue suka karena ga terlalu manis , recommended banget beli cheese cake nutella oreonyaa . harganya ga mahal2 . akan balik lagi ke sini buat beli ice mocha klo ke bogor : )",POSITIVE,POSITIVE,POSITIVE,UNKNOWN
1050,"Cuma satu , menu nya porsinya besar . Tapi pelayanannya LAMA ! Waitress bawa makanan ngga pake catetan nomer meja , jd entahlah pesanan kita lari ke meja mana dulu , apalagi klo duduknya diatas dan jauh dari tangga ( krn makanan dibawa dr kitchen di lt dasar ) . Untuk rasa enak , porsi seperti saya sdh bilang diatas cukup banyak , ga bakal kelaperan lah , harga pun sesuai , ga kemahalan . Kemarin dtg krn pnya kupon dr groupon , jd jatuhnya semakin murah lagi . Tapi sekali lagi their service ruin everything !",POSITIVE,UNKNOWN,POSITIVE,NEGATIVE
1054,"Lagi booming bgt , menurut saya rasanya biasa aja , pizzanya kejunya kurang banyak , untuk buble deesertnya lumayan lah , dan servicenya agak lama , tempatnya kurang besar .",NEGATIVE,NEGATIVE,UNKNOWN,NEGATIVE
1064,"Tempatnya bagus sih secara design , tapi makanannya ga enak . Saya nyobain nasi goreng lay , rasa nya alay , pelayanannya juga lama ( masaknya ) terus coco banana nya kecil banget .",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
108,"OKU ... Makananya enak , penyajiannya kreatif , harganya masih ok untuk sebuah resto yg letaknya di dalam hotel terkenal.karena rame jadi harus nunggu di Loungenya .",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
1087,"kemaren dah ke sana karena penasaran,tempat sih okee gw kasi nilai 8,tp makanannya ugh sorry to say kurang enak (kasian kalo di bilang ngga enak),pesen beef stroganofe koq rasanya kaya rendang yaa,sm chicken basil rice ya ampuuunn berminyak banget wueeks.",NEGATIVE,POSITIVE,UNKNOWN,UNKNOWN
1099,"Judulnya sih malmingan cuma berdua an aja ma misua tanpa 2 jagoan gw,tertuju lah steak abuba pas pertama masuk suasananya sih nyaman bgt alias adem. Order yg pasti steak dan gw order steak rib eye,balck coffe,lemonade dan buat dessert nya gw order cheese cake oreo yg pas masuk mulut emmmm yummy bgt lumer dilidah. Tapi masih ada menu lain yg pgen gw cobain sih scra pelayanannya juga ramah dan cepet bgt.",POSITIVE,POSITIVE,UNKNOWN,POSITIVE
1113,"Tempatnya cozy banget buat nongkrong tp rasa makanan nya yang kurang enak hoho , harga sama porsinya itu juga minus banget harganya berapa porsinya kecil banget huhu .",NEGATIVE,POSITIVE,NEGATIVE,UNKNOWN
1126,"tempatnya cozy nyaman buat lama lama disana tapi sayang banget pelayanannya buruk . Waitersnya kebanyakan ngobrol jadi tiap dipanggil mesti berkali kali , kurang senyum jadi kalo liat males banget buat manggil tapi tertolonglah sama tempat dan pemandangannya . Makanannya juga enak bangeeeeet so ga terlalu mengecewakan juga .",POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
1134,makanan enak porsi pas..tapi jangan datang ketika sudah jam mepet..pegawainya tidak sopan dan terkesan harus membayar dengan cepat..mohon lebih diperhatikan kesopanannya .,POSITIVE,UNKNOWN,POSITIVE,NEGATIVE
1137,"Dari segi pelayanan , menurut saya jelas sekali pelayanan tidak memuaskan . Saya mencoba hubungi nomor telp sabu hachi karang tengah untuk reservasi , telp diangkat tapi hanya didiamkan saja . Begitu terus berulang2 sampai 3 kali . Selain merugikan juga SANGAT TDAK SOPAN ! ! ! Bagaimana org mau tertarik datang kalau untuk layanan telp/reservasi saja tidak dilayani dengan baik . Mhn jd perhatian .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1151,"Porsi sangat kecil, tidak sesuai dengan harga yang dibayar. Jamin sangat mengecewakan!!! Kami tidak akan mengunjungi restaurant ini lagi. Merasa dibohongi dengan gambar gambar makanan yang menggoda tapi faktanya sangat mengecewakan. Saran untul pemilik, jangat berbisnis makanan dengan maksud menipu!!!",UNKNOWN,UNKNOWN,NEGATIVE,UNKNOWN
116,"Salah satu tempat favorit gue di area Gunawarman . Biasanya gue order Lunch Set karena udah dapat main course + drink + dessert . Untuk penggemar ox tounge , gue recommend untuk mesen Mrs Moo 's Gyutan Don Cabe Ijo . Selain rasanya yang enak banget , porsinya juga sangat mengenyangkan .",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
117,"Pertama kali dateng . Keliatan gak rame . Tapi pelayanannya jelek banget . Pesen , setelah 1 jam baru dianterin . Udah gitu dari 3 pesanan baru 2 yang jadi . Dan salah juga . Kurang profesional . Terima kasih untuk complementary . Semoga lebih bak .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1186,"Suka sama fish and chipsnya ! Ga kayak fish and chips di tempat2 lain , porsinya besar & rasanya enak juga ternyata , tapi sayang tempatnya kecil , kebetulan pas kesana hari minggu & rame , jadi berisik suasananya .",POSITIVE,NEGATIVE,POSITIVE,UNKNOWN
1223,"Mengecewakan banget. Tempatnya gak menarik, sepi pengunjung juga. Kotor sama kusam pula. Mungkin salah banget kenapa pindah dari tempat yang sebelumnya. Rasa sushinya gak enak banget. Super asin, kayak makan garam doang. Penyajiannya parah. Baru kali ini makan sushi malah bikin mual. Hmm.",NEGATIVE,NEGATIVE,UNKNOWN,UNKNOWN
1227,"Tempatnya sangat cozy, servicenya oke. Abuba steak ni lumayan rame apalagi kalo weekend. Gw makan disini 2x dgan 2 jenis makanan yang berbeda, tp keduanya ga ada yang special. Rasanya biasa. Yg enak disini itu homemade bbq sauce mereka.",NEGATIVE,POSITIVE,UNKNOWN,POSITIVE
1235,"Waktu pertama kali gue kesini, awal2 mereke buka, gue langsung suka banget karena makanan yg mereka sajikan bisa dibilang anti mainstream dan begitu gue makan pun rasanya enak banget! Walaupun harganya cukup mahal tapi worth it!! Gue sampe rekomendasi ke temen2 gue buat nyobaik makanan di sini.",POSITIVE,UNKNOWN,NEGATIVE,UNKNOWN
1236,"Suasana dan design sangat bagus . Kebersihannya pun bagus . Makanannya samgyetang enak korean style , tidak terlalu banyak rempah , bawang atau perasa tambahan lebih mengandalkan rasa asli dari ayam dan sedikit rempah dan kacang2an .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1247,"Servisnya paarrraahhhh!!! Saya dtg makan sini pada jam sepi, jam 2.30 siang tepatnya tapi mulai dari minta mangkok kosong, minta refil minum, mknan ga keluar sampe udah bersih meja semua bukan cuma lamban, tapi dicuekin!!! Sibuk? Engga! Ngobrol2 dipinggir!",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1252,Tempat nya cozy bgt smoking areanya pun nyaman ber ac . enak banget apalagi pizza nya . Buat kalian yang belum coba silahkan datang sekarang juga harga nya lumayan kok termasuk murah klo di jajajran grand indonesia mah .,POSITIVE,POSITIVE,POSITIVE,UNKNOWN
1257,"Makanan lumayan enak dan suasanya asik . Sayang sekali pelayanannya buruk . Makanan & tamu masih ada , 2 orang pelayan udah membereskan meja tanpa permisi dan seperti gak punya etika dan makanan yg masih ada ikut diangkat . Too bad .",POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
1270,"Tempatnya kecil and tempat parkirnya susah , tempatnya di lantai dua dan cuma ada beberapa meja di dalam dan luar , mungkin karena made from scratch , jadi agag lama , untuk makanan sehat , rasanya lumayan enak , walaopun engga familiar pesen naked burgreen n greenonigiri platter .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1272,"Pertama kali dateng rame bangettt trus waitersnya pada lama sampai saya angkat tangan 5 mnt ada kali. Baru disautin. Very bad their services 3:( And then gw mesen piggy cutton candy dan orang yg mesen stelah gw dilayanin!! What the.. dan gw mesen gulali selama 38 menit. Cuma mesen gulali doang. Kenapa gw begitu detail waktunya??? Soalnya gw pas itu ada janji jadi tau waktu. Gara"" shirayuki PIK gw jd TELAT ACARA PENTING.",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1306,Tempatnya enak makanannya juga rasanya enak . Tapi waktu saya ke sana sedang ada renovasi sedikit walaupun tidak mengganggu . Dan dg penuh hormat pemilik menyampaikan permohonan maaf atas ketidaknyamanan yg terjadi akibat renovasi tsb Kalau liat di photowallnya.. cukup banyak jg org terkenal yg pernah singgah di sini .,POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1313,Makanannya enak dan harga nya relatif murah Porsi nya juga gede banget bahkan bisa untuk 2 orang Pelayanan nya juga sangat ramah Bisa pilih ruangan ac atau smoking,POSITIVE,UNKNOWN,POSITIVE,POSITIVE
1336,"Tempatnya enak banget buat nongkrong . Kopinya enak , harganya terjangkau , staffnya juga ramah2 . Tadi pesen hot latte , hot cappuccino & chocolate waffle , semuanya enak .",POSITIVE,POSITIVE,POSITIVE,POSITIVE
1339,Kesini pas bulan puasa . Tempatnya kecil . Ga ada lantai 2 nya . Udah gitu makanannya juga kurang enak . Kesini nyobain nasi iga balado . Temen nyobain nasi goreng comic . Nasi iga balado rasanya standar . Nasi gorengnya kurang enak . Buat pelayanannya jelek . Serba lelet . Masnya kayak males ngelayanin . Mau tambah pesenan ice tea malah ga dianterin sama masnya . Entah lupa atau entah ga diinget sama dia . So far ngga banget lah buat jadi tempat makan .,NEGATIVE,NEGATIVE,UNKNOWN,NEGATIVE
1354,"tempatnya sih sebenernya biasa aja buat yang gak suka komik superherro , tapi makanannya enak , harganya juga terjangkau .",POSITIVE,NEGATIVE,POSITIVE,UNKNOWN
136,"Tempatnya instagramable banget, pas banget kalo mau bikin acara lunch / dinner pake table set gitu. Beef burger & chicken burgernya enak, beef bowl ricenya enak, Chicken wingsnya yang BBQ enaaak!! Strawberry ice tea segar. Nilainya 8 dari 10. Nice place to hang out buat warga cibubur.",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1373,Gila ini sushi paling parah yg pernah gw makan. Sushinya g gw habisin krn sampe terlalu eneg makannya. Pagi2 hbs makan sushi ini kmrn lgsg muntah2. Ewwww. Tidak akan kesini lagi.,NEGATIVE,UNKNOWN,UNKNOWN,UNKNOWN
1374,"Makanannya sih oke, tapi servicenya tuh jelek banget. Waitress mana yang ngitung uang di depan pelangganya? Goojob epigastro percuma kalau makanan berkualitas tapi serasa service emperan mungkin karena kita duduknya rada lama karena menunggu teman langsung di plototin walaupun restaurantnya sepi.",POSITIVE,UNKNOWN,UNKNOWN,NEGATIVE
1380,"Mie ayamnya enak, porsinya pas. Mie gorengnya juga enak. Pernah nyoba mie ayam hijaunya, tapi biasa aja. Nothing special. Setiap mau ke sini, pasti rame terus.",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
1397,"Tempatnya enak banget , waktu itu ke sini pesen mushroom rissotto sama chicken & pasta combo . Mushroom rissottonya enakk bangett bangett rasa garlicny berasa bgt . Chicken n pasta combony juga enak . Bner-bener ga rugii deh . It 's very recommended .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1401,"Suka banget sama tempat nya . Bersih , nyaman , adem , dan jauh dari kepenatan Jakarta . Gue pesen Berrywell Signature ukuran besar , dan rasanya oke banget . Gue habis dalam sekejap , harga nya juga murah . Terus pesen juga bisa pake gojek kalo males keluar rumah ! Pasti bakal balik lagi buat nyoba bowl yang lainnya .",POSITIVE,POSITIVE,POSITIVE,UNKNOWN
1404,Makanan Korean yg letaknya di Pasific Place ini . Paling suka sama rasa Samgyetang atau gingseng chicken stew . Tempatnya pun nyaman bisa duduk di luar resto sambil ngedengerin gemericik air .,POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1416,Tempatnya cozy buat nongkron . Enak juga kok buat ngerjain sesuatu yg serius juga . Makanannya sih enak2 . Apalagu green tea smoothiesnya enka parah . Sayang aja gak banyak segelasnya . Tapi pelayannya kurang memuaskan pake banget . Sering gue manggil pelayan dengan lambaian2 tangan ( karena tmpt gue di ujung ) tuh semua pelyan liat . Tapi datengnya gak sesegera mungkin . Ada jedanya lumayan banyak . Tapi giliran org lain lgs cepet ditanggepin . Gue ngerasa gue sama temen gue terlihat gak sih atau si pelayan punya dendam ke kita gak tau deh tuh .,POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
142,Tempat ok. Pelayan judes dan lambat. Banyak menu yg habis. Tapi unt nongkrong ok. Rasanya ok. Harga juga standart.. tapi pelayannya payah bgt.,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
1432,"Makanan disini lumayan ok , sashimi nya juga sangat fresh . Pelayanan nya jg bagus..dan variasi makanan jepang nya juga banyak..untuk harga memang agak sedikit mahal tetapi masih ok jika di perhitungkan dengan makanan nya .",POSITIVE,UNKNOWN,NEGATIVE,POSITIVE
1433,"kamis kmaren saya dan keluarga dine in di bibigo..restonya cozy apalagi klo duduknya dapet yg di perahu layar mini , bgs bgt view nya . makanannya juga enak..rekomended siy ayam khas korea nya..namanya "" red chicken "" ..daging ayamnya spt karage ditambah saos merah khas korea yg pedas manis . klo yg suka tokpokki..disini dijual dgn nama "" spicy rice cake "" klo ga salah..lupa namanya..rasanya juga enak..dan pedasnya pas . didalamnya selain rice cake ( terbuat dr tepung ketan kyknya ) ada tambahan fish cake , telur dan gorengan ubi..enak bgt pokoke..nyam2 .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1434,Gambar dimenu terlihat menarik tapi tidak sesuai yang dihidangkan. Paket AYCE hanya terbatas beberapa item. Daging terlihat tidak fresh apalagi yang namanya finger. Rasanya asin sekali hingga tidak bisa dimakan. Sepertinya ini daging yang telah expired kemudian diberi bumbu supaya tertutup tasa tidak segarnya.,NEGATIVE,UNKNOWN,UNKNOWN,UNKNOWN
1441,"rasa burgernya enak , smoothiesnya juga ! pelayannya ramah2 . salut sama ownernya yg humble bgt & mengedepankan customer satisfaction . sukses terus menyehatkan warga jkt & sekitarnya .",POSITIVE,UNKNOWN,UNKNOWN,POSITIVE
146,"Setelah olahraga di Kebun Raya Bogor , mencari tempat yang nyaman dan suasana santai untuk ngobrol bersama teman . Saya memesan hot cappuccino dan tersaji cantik . Hehehe . Cukup puas dengan rasa dan beberapa pilihan kopi yang ditawarkan oleh waiters . Saya ingin ke sana lagi untuk mencoba menu lainnya .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1467,Dateng kemari karena mau nyobain martabak telor mozarellanya . Pas sampe pelayannya lama banget ngasih menunya . Pas mau mesen juga susah manggilnya karena sibuk semua . Dan lebih parahnya pas nunggu pesanannya . Nunggu minuman dateng aja lama banget . Apalagi martabaknya . Dan pas dicobain ternyata rasanya enggak enak . Cukup sekali deh kemari .,NEGATIVE,UNKNOWN,UNKNOWN,NEGATIVE
1469,Suka bgt sama tempat ini apalagi kalo lg sepi ! Recommend buat anak2 yang mau belajar kelompok disini pelayanannya ok ! Pelayannya ga ngusir2 gt . Gue disini ada kali dr jam 11-16:00 So far buat makananya enak ! Suka sm aglio olionya . Untuk harga murah bgt : ),POSITIVE,POSITIVE,POSITIVE,POSITIVE
147,"Tempatnya bagus tp mungkin agak kecil. Suasananya tenang jg. Warnanya didominasi dengan warna hitam & putih. Keren! Pelayanannya bagus, cepat, dan pelayannya ramah-ramah juga. Di setiap lantai ada pelayannya yang jagain jd nggak hrs nyari pelayannya dulu. Kemarin pesan ""Carbonara Rice"" rasanya kurang enak sih.",NEGATIVE,POSITIVE,UNKNOWN,POSITIVE
1479,"Barusan late lunch disini , enakkkk semuanya pizzanya suka banget , pastanya jugaaa ... harga standard lahhhh ... Untuk service ya cepet pelayanannya ramah ramah . Cocok sih buat berdua ngobrol santaiiiii .",POSITIVE,UNKNOWN,POSITIVE,POSITIVE
1480,"Udah beberapa kali ke sini. Mie acehnya enak , bumbunya berasa banget, diantara yg udah dicobain paling suka mie rebusnya. Pedesnya pas, apalagi kalo pas lagi dimasak, bumbunya nusuk idung hehe. Tapi semuanya juga enak kok, nasi gorengnya, mie goreng nya sama mie tumisnya. Untuk tempatnya emng agak gerah sih apalagi kalo makan makanan pedes.",POSITIVE,NEGATIVE,UNKNOWN,UNKNOWN
1501,"Tempatnya cozy buat nongkrong , tapi waktu gue kesana wifi nya lg gangguan , pelayanan kurang memuaskan , gue minta menu lama bgt nggak dikasih2 , harga overpriced .",UNKNOWN,POSITIVE,NEGATIVE,NEGATIVE
1510,"Pelayanan buruk sekali , lama banget nunggu 1 jam lebih , pesen chicken ramen dan nggak di kasih info kalo sold out . Order zenbu teppanyaki 2 yang dianter cuma 1 , selebihnya nunggu 1 jam lebih . Parah . Pelayanan buruk , main oper operan . Not recommend kalo untuk lunch deh . Jangan sekali kali , nunggu 1,5jam juga nggak cukup . Kesel . Managernya juga ngga fungsi .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1537,"Menu makanan yang isi nya ayam yang lucu "" dan sedap . Tapi kali ini saya order bulgogy spicy yang enak dan nasinya juga gurih sedap.kimchi nya asem pedas dan salad yang juga top.tempat luas pelayanan cepat.kurangnya mgkn krn tidak banyak menu lain.untuk harga relatif tidak mahal.satu orang kena 85rb .",POSITIVE,POSITIVE,POSITIVE,POSITIVE
1538,"Tempatnya bagus. Instagrammable banget tempat nya buat foto2 san konsepnya unik. Tapi untuk segi makanan kurang sih, platingnya bagus tapi untuk rasanya kurang sesuai ekspektasi.",NEGATIVE,POSITIVE,UNKNOWN,UNKNOWN
1575,Tom yum tallaynya ngga enak seafoodnya bau amis bangeet . terus harganya agak mahal dibandingkan dengan yang lain t*mtom pokoknya ngga sesuai .,NEGATIVE,UNKNOWN,NEGATIVE,UNKNOWN
1587,"Harga mahal. Service kurang menghargai customer. Kecewa banget makan disini. Kurang baik dalam melayani customer, padahal harga mahal. Amit2.",UNKNOWN,UNKNOWN,NEGATIVE,NEGATIVE
1626,"Tempatnya lumayan pewe jd pas bingung mau kmn gw memutuskan buat makan disini deh . Karna emang niatnya cuma ngemil2 aja jadinya pas disini cmn pesen healthy bowl nya aja & pesen yang berry nana , isinya ada blueberry , banana , lychee granola Dari segi rasa emang enak cmn ga trlalu suka sama tekstur nya yang trlalu encer Tapi kalo buat service & harganya oke kok .",POSITIVE,POSITIVE,POSITIVE,POSITIVE
164,"Baru sekali sih kesini tapi udah kecewa aja , pelayanannya ga bagus . Mulai dari mesen pelayannya ditanya apa jawabnya apa trs bnyak gataunya lagi . Apa lagi makanannya dateng lama banget . Waktu itu gue mesen burger sama pasta . Dari burger dateng sampe habis itu pasta ga dateng juga , udah bolak balik nanya ke pelayannya pun tetep aja lama . Pas pastanya udah dianter ya udah ga gt selera jadinya , tadinya mau pesen pancake/wafle juga jd males . Sayang banget padahal makanannya enak , cuma gegara pelayanannya kurang memuaskan jd ga bikin pengen dateng lagi .",POSITIVE,UNKNOWN,UNKNOWN,NEGATIVE
1649,"Pelayanan disini kurang bagus , bisa dibilang amat jelek , pesenan sampe keselip nunggu nya lama bukan main , pelayan nya juga ngga ramah . Pelayanan disini bad banget lah pokoknya . But makanan nya the best . Sesuai sama harga enak kok rasanya .",POSITIVE,UNKNOWN,POSITIVE,NEGATIVE
1677,"harga kemahalan, pelayanan jelek tapi interior bagus.",UNKNOWN,POSITIVE,NEGATIVE,NEGATIVE
1686,Kmaren lg pengen calamary .. krna dkt dr rumah jd mampir kesini . Trnyata rasa nya biasa aja rasa tepung nya polos ga ada gurih2 nya . Nd mayo nya asem doank yah .,NEGATIVE,UNKNOWN,UNKNOWN,UNKNOWN
1690,"Tempatnya lumayan , suasananya seperti resto2 di bandung . Cuma sayang gak didukung sama rasa makanannya . Kalo menurut saya sih rasanya tidak enak . Yang seger cuma minumannya aja , kebetulan saya pesen "" Kabayan "" itu campuran sprite-jeruk nipis - daun minta .",NEGATIVE,POSITIVE,UNKNOWN,UNKNOWN
1694,Pelayanannya payah banget pegawainya kebanyakan berdiri dan ngobrol saja bukannya melayani malah sibuk sendiri. Soal taste makanannya enak.,POSITIVE,UNKNOWN,UNKNOWN,NEGATIVE
1704,"Pelayanan didalam kurang ramah , apa mungkin karna lagi ramai ya , jadi makanannya lama datangnya , malah ayam nya keras : ( sedih pdhl udah nunggu lama . Tapi tempatnya memang enak . Cuma untuk makanan kayaknya kurang enak .",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
1710,"Pelayanan lama , dan billing tidak sesuai pesanan.ada pesanan yg ditolak tapi tetap ditagihkan kebilling.bukanya harusnya yg di cancel langsung dikeluarin dari billing pesanan ? ?",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
175,"Makan disini kemari malam , Pelayanan lama , pesanan saya baru dateng setelah kurang lebih 1 jam , itu juga harus ditanya dulu dan alesannya karena lupa .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1774,"Datang kesini karna istri saya sering bilang betapa enaknya Babura yang di Medan. Ternyata yang cabang Jakarta tidak seenak yang di Medan (kata istri saya, karna saya sendiri belum pernah coba yang di Medan). Harga termasuk mahal, dan service nya juga kurang baik.",NEGATIVE,UNKNOWN,NEGATIVE,NEGATIVE
178,"Udah cobain lama tapi baru sempet review hehe . Menurut gue cukup unik design nya , bagus banget untuk foto foto . Untuk rasa makanan lumayan enak dan harga juga standart seperti makanan hotel .",POSITIVE,POSITIVE,POSITIVE,UNKNOWN
1780,"Tempatnya nyaman bgt buat ber hahahihi time sama tmn atau pacar dan bikin betah berlama2 ditambah alunan musik Jazz . Buat makanan so far enak smua , cuma cappuccino blendnya terlalu cair . Pastinya tmpt yang akan didatengin lagi..",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1782,"Pelayanannya kurang ramah , mbaknya pada jutek gitu sayang banget padahal makanannya lumayan enak enak dan banyak jajanan jajanan Jepangnya . Tempatnya kurang besar aja jadi berisik sekali bahkan kita bisa denger suara orang yang duduknya di ujung .",POSITIVE,NEGATIVE,UNKNOWN,NEGATIVE
1794,"Hari ini ke mister sunday buat ngerjain skripsi . Tempatnya gak susah buat di cari dan parkirannya juga luas , jadi gak susah buat parkirnya . karena udah makan jadi cuman cobain cakenya , tadi cobain salted caramel brownies sama butter cheddar cakenya . untuk cakenya rasanya biasa aja , tapi mending yang brownies dibanding butter cakenya . Tapi untuk tempatnya nyaman banget dan cozy banget , cocok buat nongkrong sama nugas gitu . tempatnya bikin betah lama lama .",NEGATIVE,POSITIVE,UNKNOWN,UNKNOWN
1814,"Harganya mahal bangettttt. Pelayan kurang ramah dan pelayanan kurang berkualitas. Response lamban. Siap siap baju bau kalau masuk resto ini, sepertinya ventilasi di tempat ini kurang baik. NOT RECOMMENDED.",UNKNOWN,NEGATIVE,NEGATIVE,NEGATIVE
1815,Makan disini saat jam buka puasa . Alhasil sangat crowded nunggu 15 menitan baru dapat tempat duduk . Order makanan dan minuman langsung . Makanan datang sangat lama dan datangnya satu satu dengan jeda waktu yang cukup lama . Ada kali stngah jam per menu . Padahal makanan nya enak tapi pelayanan nya lama mungkin karen lagi ramai dan pekerja sedikit . Harga makanan dan minuman mahal tapi tidak memuaskan karena datang makanan satu satu dan lama .,POSITIVE,UNKNOWN,NEGATIVE,NEGATIVE
1858,Ni tempat udah kecil engap. pelayannya nyebelin dan lama. Bener2 paket lengkap untuk jadi restoran yang membosankan. Beda cerita dengan ssikek gading.,UNKNOWN,NEGATIVE,UNKNOWN,NEGATIVE
1867,"Kemarin ke sini buat nongki2 sama temen . Tempatnya bagus , nyaman . Lucu gitu konsep pintunya pintu jangkar . Dia ada dua lantai , yg di bawah agak gelap , ada tv nya , non smoking . sedangkan yang di atas agak terang tp dia smoking room . So far sih asik ya , makanannya jg OK lah . Asik kok buat nongkrong lama2 pake laptop . Kalo bosen bisa nonton .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1871,"Menurut saya , tempatnya terlalu berisik karna speaker musiknya . menunya lumayan oke , but nothing special .",POSITIVE,NEGATIVE,UNKNOWN,UNKNOWN
1874,Restoran ini cukup nyaman untuk keluarga. Suasananya enak dan pelayanannya baik dan ramah. Saya pesan smokey baby back ribs. Menurut saya dagingnya lembut tapi kurang juicy. Bbq saucenya terlalu manis untuk saya tapi saya suka chili saucenya. Saya suka french fries nya karena besar dan garing. Untuk minum saya pesan ice lemon tea.,POSITIVE,POSITIVE,UNKNOWN,POSITIVE
1889,"Rasanya tidak enak , tidak sesuai dengan harganya . Dari semua menu hanya saus bolognase dan carbonara nya yang masih bisa dinikmati di lidah .",NEGATIVE,UNKNOWN,NEGATIVE,UNKNOWN
1891,"Dari segi tempat nya itu nyaman bgt buat ngopi sambil ngerjain tugas , walau ga terlalu besar tp tetep nyaman apalagi kalo lg sepi udah berasa dirumah sendiri . My fav is red velvet latte itu kalo ga salah harganya 28k , rasa nya enak ga terlalu pait dan ga terlalu manis . Buat yg suka ngopi you must try popolo coffe !",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
